drug1,drug2,text,interacts,type
DDI-DrugBank.d309.s0.e0,DDI-DrugBank.d309.s0.e1,"Additive CNS depression may occur when drug1 are administered concomitantly with other drug2 including drug0, drug0, and drug0",True,effect
DDI-DrugBank.d309.s0.e0,DDI-DrugBank.d309.s0.e2,"Additive CNS depression may occur when drug1 are administered concomitantly with other drug0 including drug2, drug0, and drug0",True,effect
DDI-DrugBank.d309.s0.e0,DDI-DrugBank.d309.s0.e3,"Additive CNS depression may occur when drug1 are administered concomitantly with other drug0 including drug0, drug2, and drug0",True,effect
DDI-DrugBank.d309.s0.e0,DDI-DrugBank.d309.s0.e4,"Additive CNS depression may occur when drug1 are administered concomitantly with other drug0 including drug0, drug0, and drug2",True,effect
DDI-DrugBank.d309.s0.e1,DDI-DrugBank.d309.s0.e2,"Additive CNS depression may occur when drug0 are administered concomitantly with other drug1 including drug2, drug0, and drug0",False, 
DDI-DrugBank.d309.s0.e1,DDI-DrugBank.d309.s0.e3,"Additive CNS depression may occur when drug0 are administered concomitantly with other drug1 including drug0, drug2, and drug0",False, 
DDI-DrugBank.d309.s1.e0,DDI-DrugBank.d309.s1.e1,Patients receiving drug1 should be advised against the concurrent use of other drug2,True,advise
DDI-DrugBank.d309.s2.e0,DDI-DrugBank.d309.s2.e1,drug1 prolong and intensify the anticholinergic effects of drug2,True,effect
DDI-DrugBank.d307.s1.e0,DDI-DrugBank.d307.s1.e1,"In addition, several drug1 s that are cytochrome P450 inducers can decrease plasma concentrations of drug2 and drug0",True,mechanism
DDI-DrugBank.d307.s1.e0,DDI-DrugBank.d307.s1.e2,"In addition, several drug1 s that are cytochrome P450 inducers can decrease plasma concentrations of drug0 and drug2",False, 
DDI-DrugBank.d307.s1.e1,DDI-DrugBank.d307.s1.e2,"In addition, several drug0 s that are cytochrome P450 inducers can decrease plasma concentrations of drug1 and drug2",False, 
DDI-DrugBank.d307.s3.e0,DDI-DrugBank.d307.s3.e1,Results demonstrate that drug1 and its pharmacologically active 10-monohydroxy metabolite (drug2,False, 
DDI-DrugBank.d307.s4.e0,DDI-DrugBank.d307.s4.e1,Although inhibition of CYP 3A4/5 by drug1 and drug2,False, 
DDI-DrugBank.d307.s5.e0,DDI-DrugBank.d307.s5.e1,The inhibition of CYP-2C19 by drug1 and drug2,False, 
DDI-DrugBank.d307.s7.e0,DDI-DrugBank.d307.s7.e1,Increases of 22% with drug1 and 47% with drug2,False, 
DDI-DrugBank.d307.s8.e0,DDI-DrugBank.d307.s8.e1,"As drug1, the predominant plasma substrate, is only a weak inducer of UDP-glucuronyl transferase, it is unlikely to have an effect on drugs that are mainly eliminated by conjugation through UDP-glucuronyl transferase (e.g., drug2, drug0",False, 
DDI-DrugBank.d307.s8.e0,DDI-DrugBank.d307.s8.e2,"As drug1, the predominant plasma substrate, is only a weak inducer of UDP-glucuronyl transferase, it is unlikely to have an effect on drugs that are mainly eliminated by conjugation through UDP-glucuronyl transferase (e.g., drug0, drug2",False, 
DDI-DrugBank.d307.s9.e0,DDI-DrugBank.d307.s9.e1,"In addition, drug1 and drug2 induce a subgroup of the cytochrome P450 3A family (CYP3A4 and CYP3A5) responsible for the metabolism of drug0 and oral drug0",False, 
DDI-DrugBank.d307.s9.e0,DDI-DrugBank.d307.s9.e2,"In addition, drug1 and drug0 induce a subgroup of the cytochrome P450 3A family (CYP3A4 and CYP3A5) responsible for the metabolism of drug2 and oral drug0",False, 
DDI-DrugBank.d307.s11.e0,DDI-DrugBank.d307.s11.e1,drug1: Potential interactions between drug2 and other drug0,False, 
DDI-DrugBank.d307.s11.e0,DDI-DrugBank.d307.s11.e2,drug1: Potential interactions between drug0 and other drug2,False, 
DDI-DrugBank.d307.s16.e0,DDI-DrugBank.d307.s16.e1,Influence of drug1 on drug2,False, 
DDI-DrugBank.d307.s17.e0,DDI-DrugBank.d307.s17.e1,Influence of drug1 On drug2,False, 
DDI-DrugBank.d307.s35.e0,DDI-DrugBank.d307.s35.e1,"1- nc denotes a mean change of less than 10% 2- Pediatrics 3- Mean increase in adults at high drug1 doses In vivo, the plasma levels of drug2 increased by up to 40%, when drug0",False, 
DDI-DrugBank.d307.s35.e0,DDI-DrugBank.d307.s35.e2,"1- nc denotes a mean change of less than 10% 2- Pediatrics 3- Mean increase in adults at high drug1 doses In vivo, the plasma levels of drug0 increased by up to 40%, when drug2",False, 
DDI-DrugBank.d307.s35.e1,DDI-DrugBank.d307.s35.e2,"1- nc denotes a mean change of less than 10% 2- Pediatrics 3- Mean increase in adults at high drug0 doses In vivo, the plasma levels of drug1 increased by up to 40%, when drug2",True,mechanism
DDI-DrugBank.d307.s36.e0,DDI-DrugBank.d307.s36.e1,"Therefore, when using doses of drug1 greater than 1200 mg/day during adjunctive therapy, a decrease in the dose of drug2",True,advise
DDI-DrugBank.d307.s37.e0,DDI-DrugBank.d307.s37.e1,"The increase of drug1 level, however, is small (15%) when given with drug2",True,mechanism
DDI-DrugBank.d307.s38.e0,DDI-DrugBank.d307.s38.e1,"Strong inducers of cytochrome P450 enzymes (i.e. drug1, drug2 and drug0) have been shown to decrease the plasma levels of drug0",False, 
DDI-DrugBank.d307.s38.e0,DDI-DrugBank.d307.s38.e2,"Strong inducers of cytochrome P450 enzymes (i.e. drug1, drug0 and drug2) have been shown to decrease the plasma levels of drug0",False, 
DDI-DrugBank.d307.s40.e0,DDI-DrugBank.d307.s40.e1,"Hormonal drug1 Co-administration of drug2 with an oral drug0 has been shown to influence the plasma concentrations of the two hormonal components, drug0 (EE) and drug0",False, 
DDI-DrugBank.d307.s40.e0,DDI-DrugBank.d307.s40.e2,"Hormonal drug1 Co-administration of drug0 with an oral drug2 has been shown to influence the plasma concentrations of the two hormonal components, drug0 (EE) and drug0",False, 
DDI-DrugBank.d307.s40.e1,DDI-DrugBank.d307.s40.e2,"Hormonal drug0 Co-administration of drug1 with an oral drug2 has been shown to influence the plasma concentrations of the two hormonal components, drug0 (EE) and drug0",True,mechanism
DDI-DrugBank.d307.s43.e0,DDI-DrugBank.d307.s43.e1,"Therefore, concurrent use of drug1 with drug2 may render these drug0",True,effect
DDI-DrugBank.d307.s43.e0,DDI-DrugBank.d307.s43.e2,"Therefore, concurrent use of drug1 with drug0 may render these drug2",False, 
DDI-DrugBank.d307.s43.e1,DDI-DrugBank.d307.s43.e2,"Therefore, concurrent use of drug0 with drug1 may render these drug2",False, 
DDI-DrugBank.d307.s45.e0,DDI-DrugBank.d307.s45.e1,"drug1s: After repeated co-administration of drug2, the AUC of drug0",False, 
DDI-DrugBank.d307.s45.e0,DDI-DrugBank.d307.s45.e2,"drug1s: After repeated co-administration of drug0, the AUC of drug2",False, 
DDI-DrugBank.d307.s45.e1,DDI-DrugBank.d307.s45.e2,"drug0s: After repeated co-administration of drug1, the AUC of drug2",True,mechanism
DDI-DrugBank.d307.s46.e0,DDI-DrugBank.d307.s46.e1,drug1 produced a decrease of 20% [90% CI: 18-27] of the plasma levels of drug2,False, 
DDI-DrugBank.d307.s47.e0,DDI-DrugBank.d307.s47.e1,"Other drug interactions drug1, drug2 and drug0 had no effect on the pharmacokinetics of drug0",False, 
DDI-DrugBank.d307.s47.e0,DDI-DrugBank.d307.s47.e2,"Other drug interactions drug1, drug0 and drug2 had no effect on the pharmacokinetics of drug0",False, 
DDI-DrugBank.d307.s48.e0,DDI-DrugBank.d307.s48.e1,Results with drug1 wshow no evidence of interaction with either single or repeated doses of drug2,False, 
DDI-DrugBank.d111.s0.e0,DDI-DrugBank.d111.s0.e1,"drug1 including drug2, drug0, and drug0 HC1: Concomitant use of drug0 and non-selective drug0",False, 
DDI-DrugBank.d111.s0.e0,DDI-DrugBank.d111.s0.e2,"drug1 including drug0, drug2, and drug0 HC1: Concomitant use of drug0 and non-selective drug0",False, 
DDI-DrugBank.d111.s0.e4,DDI-DrugBank.d111.s0.e5,"drug0 including drug0, drug0, and drug0 HC1: Concomitant use of drug1 and non-selective drug2",True,effect
DDI-DrugBank.d174.s1.e0,DDI-DrugBank.d174.s1.e1,Caution should be exercised when administering drug1 with drug2 since interactions have been seen with other drug0,True,advise
DDI-DrugBank.d174.s1.e0,DDI-DrugBank.d174.s1.e2,Caution should be exercised when administering drug1 with drug0 since interactions have been seen with other drug2,False, 
DDI-DrugBank.d174.s1.e1,DDI-DrugBank.d174.s1.e2,Caution should be exercised when administering drug0 with drug1 since interactions have been seen with other drug2,True,int
DDI-DrugBank.d174.s2.e0,DDI-DrugBank.d174.s2.e1,Concomitant administration of an drug1-containing drug2 had no significant effect in the bioavailability of drug0,False, 
DDI-DrugBank.d174.s2.e0,DDI-DrugBank.d174.s2.e2,Concomitant administration of an drug1-containing drug0 had no significant effect in the bioavailability of drug2,False, 
DDI-DrugBank.d184.s0.e0,DDI-DrugBank.d184.s0.e1,"Interactions may occur with the following: adrenocorticoids (cortisone-like medicine), drug1 (drug2s), drug0, drug0 (drug0 may decrease the effects of these medicines), drug0 (using these medicines with drug0 may result in increased CNS depressant effects), drug0, drug0 (using these medicines with drug0 may change the amount of either medicine that you need to take), and oral drug0 containing drug0 (drug0 may decrease the effectiveness of these oral drug0",False, 
DDI-DrugBank.d184.s0.e0,DDI-DrugBank.d184.s0.e2,"Interactions may occur with the following: adrenocorticoids (cortisone-like medicine), drug1 (drug0s), drug2, drug0 (drug0 may decrease the effects of these medicines), drug0 (using these medicines with drug0 may result in increased CNS depressant effects), drug0, drug0 (using these medicines with drug0 may change the amount of either medicine that you need to take), and oral drug0 containing drug0 (drug0 may decrease the effectiveness of these oral drug0",False, 
DDI-DrugBank.d184.s0.e12,DDI-DrugBank.d184.s0.e13,"Interactions may occur with the following: adrenocorticoids (cortisone-like medicine), drug0 (drug0s), drug0, drug0 (drug0 may decrease the effects of these medicines), drug0 (using these medicines with drug0 may result in increased CNS depressant effects), drug0, drug0 (using these medicines with drug0 may change the amount of either medicine that you need to take), and oral drug0 containing drug0 (drug1 may decrease the effectiveness of these oral drug2",True,effect
DDI-DrugBank.d358.s0.e0,DDI-DrugBank.d358.s0.e1,"Since drug1 is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when drug2 is coadministered with inhibitors of C.P.A. such as drug0 and drug0 or inhibitors of CYP2C19 such as drug0",False, 
DDI-DrugBank.d358.s0.e0,DDI-DrugBank.d358.s0.e2,"Since drug1 is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when drug0 is coadministered with inhibitors of C.P.A. such as drug2 and drug0 or inhibitors of CYP2C19 such as drug0",False, 
DDI-DrugBank.d358.s0.e1,DDI-DrugBank.d358.s0.e2,"Since drug0 is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when drug1 is coadministered with inhibitors of C.P.A. such as drug2 and drug0 or inhibitors of CYP2C19 such as drug0",True,advise
DDI-DrugBank.d358.s0.e1,DDI-DrugBank.d358.s0.e3,"Since drug0 is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when drug1 is coadministered with inhibitors of C.P.A. such as drug0 and drug2 or inhibitors of CYP2C19 such as drug0",True,advise
DDI-DrugBank.d358.s0.e1,DDI-DrugBank.d358.s0.e4,"Since drug0 is extensively metabolized by cytochrome P-450 isoenzymes, caution should be exercised when drug1 is coadministered with inhibitors of C.P.A. such as drug0 and drug0 or inhibitors of CYP2C19 such as drug2",True,advise
DDI-DrugBank.d358.s1.e0,DDI-DrugBank.d358.s1.e1,Pharmacokinetic studies have demonstrated that drug1 and drug2 significantly increased the systemic exposure of drug0,False, 
DDI-DrugBank.d358.s1.e0,DDI-DrugBank.d358.s1.e2,Pharmacokinetic studies have demonstrated that drug1 and drug0 significantly increased the systemic exposure of drug2,True,mechanism
DDI-DrugBank.d358.s1.e1,DDI-DrugBank.d358.s1.e2,Pharmacokinetic studies have demonstrated that drug0 and drug1 significantly increased the systemic exposure of drug2,True,mechanism
DDI-DrugBank.d358.s2.e0,DDI-DrugBank.d358.s2.e1,Population pharmacokinetic studies showed higher concentrations of drug1 among patients concurrently treated with drug2,True,mechanism
DDI-DrugBank.d358.s3.e0,DDI-DrugBank.d358.s3.e1,"drug1 does not, however, appear to cause increased blood levels of drugs metabolized by CYP3A4, as it had no effect on drug2",False, 
DDI-DrugBank.d12.s0.e0,DDI-DrugBank.d12.s0.e1,Caution should be exercised when drug1 are given in conjunction with drug2,True,advise
DDI-DrugBank.d12.s3.e0,DDI-DrugBank.d12.s3.e1,drug1 may displace acidic drugs such as drug2 or drug0,True,mechanism
DDI-DrugBank.d12.s3.e0,DDI-DrugBank.d12.s3.e2,drug1 may displace acidic drugs such as drug0 or drug2,True,mechanism
DDI-DrugBank.d12.s3.e1,DDI-DrugBank.d12.s3.e2,drug0 may displace acidic drugs such as drug1 or drug2,False, 
DDI-DrugBank.d12.s5.e0,DDI-DrugBank.d12.s5.e1,The hypoglycemic effect of drug1 has been reported to increase when drug2,True,effect
DDI-DrugBank.d12.s6.e0,DDI-DrugBank.d12.s6.e1,Fulminant rhabdomyolysis has been seen as early as three weeks after initiation of combined therapy with another drug1 and drug2,True,effect
DDI-DrugBank.d12.s7.e0,DDI-DrugBank.d12.s7.e1,"For these reasons, it is felt that, in most subjects who have had an unsatisfactory lipid response to either drug alone, the possible benefits of combined therapy with drug1 and a drug2",True,effect
DDI-DrugBank.d12.s8.e0,DDI-DrugBank.d12.s8.e1,"While it is not known whether this interaction occurs with drug1 other than drug2, myopathy and rhabdomyolysis have occasionally been associated with the use of drug0 alone, including drug0",False, 
DDI-DrugBank.d12.s8.e0,DDI-DrugBank.d12.s8.e2,"While it is not known whether this interaction occurs with drug1 other than drug0, myopathy and rhabdomyolysis have occasionally been associated with the use of drug2 alone, including drug0",False, 
DDI-DrugBank.d12.s9.e0,DDI-DrugBank.d12.s9.e1,"Therefore, the combined use of drug1 with drug2",True,advise
DDI-DrugBank.d437.s4.e0,DDI-DrugBank.d437.s4.e1,drug1: The effect of drug2 on total drug concentrations of other drug0,False, 
DDI-DrugBank.d437.s4.e0,DDI-DrugBank.d437.s4.e2,drug1: The effect of drug0 on total drug concentrations of other drug2,False, 
DDI-DrugBank.d437.s5.e0,DDI-DrugBank.d437.s5.e1,"drug1 steady-state Cmax, A.C. and Cmin were decreased by 22%, 38%, and 27%, respectively, by concomitant drug2",True,mechanism
DDI-DrugBank.d437.s7.e0,DDI-DrugBank.d437.s7.e1,"drug1 steady-state Cmax, A.C. and Cmin were increased 21%, decreased 19%, and decreased 48%, respectively, by concomitant drug2",True,mechanism
DDI-DrugBank.d437.s8.e0,DDI-DrugBank.d437.s8.e1,"drug1 steady-state Cmax, A.C. and Cmin were increased by 12%, 15%, and 14%, respectively, by concomitant drug2",True,mechanism
DDI-DrugBank.d437.s9.e0,DDI-DrugBank.d437.s9.e1,drug1: Coadministration of drug2 and drug0 can decrease plasma levels of drug0,False, 
DDI-DrugBank.d437.s9.e0,DDI-DrugBank.d437.s9.e2,drug1: Coadministration of drug0 and drug2 can decrease plasma levels of drug0,False, 
DDI-DrugBank.d437.s9.e1,DDI-DrugBank.d437.s9.e2,drug0: Coadministration of drug1 and drug2 can decrease plasma levels of drug0,True,effect
DDI-DrugBank.d437.s10.e0,DDI-DrugBank.d437.s10.e1,"Coadministration of drug1 and drug2 as compared to a non-matched historicalcontrol group resulted in a 30%, 27%, and 25% decrease in serum drug0",True,mechanism
DDI-DrugBank.d437.s10.e0,DDI-DrugBank.d437.s10.e2,"Coadministration of drug1 and drug0 as compared to a non-matched historicalcontrol group resulted in a 30%, 27%, and 25% decrease in serum drug2",False, 
DDI-DrugBank.d437.s10.e1,DDI-DrugBank.d437.s10.e2,"Coadministration of drug0 and drug1 as compared to a non-matched historicalcontrol group resulted in a 30%, 27%, and 25% decrease in serum drug2",False, 
DDI-DrugBank.d437.s13.e0,DDI-DrugBank.d437.s13.e1,Laboratory Tests: The combination of drug1 and low-dose drug2,True,effect
DDI-DrugBank.d437.s14.e0,DDI-DrugBank.d437.s14.e1,Appropriate laboratory testing should be considered prior to initiating combination therapy with drug1 and drug2,True,advise
DDI-DrugBank.d437.s15.e0,DDI-DrugBank.d437.s15.e1,"For comprehensive information concerning laboratory test alterations associated with drug1, physicians should refer to the complete prescribing information for drug2 (drug0",False, 
DDI-DrugBank.d437.s15.e0,DDI-DrugBank.d437.s15.e2,"For comprehensive information concerning laboratory test alterations associated with drug1, physicians should refer to the complete prescribing information for drug0 (drug2",False, 
DDI-DrugBank.d395.s0.e0,DDI-DrugBank.d395.s0.e1,"drug1: drug2, given concomitantly with drug0 or 60 minutes following drug0 administration, decreased drug0",False, 
DDI-DrugBank.d395.s0.e0,DDI-DrugBank.d395.s0.e2,"drug1: drug0, given concomitantly with drug2 or 60 minutes following drug0 administration, decreased drug0",False, 
DDI-DrugBank.d395.s0.e1,DDI-DrugBank.d395.s0.e2,"drug0: drug1, given concomitantly with drug2 or 60 minutes following drug0 administration, decreased drug0",True,mechanism
DDI-DrugBank.d395.s1.e0,DDI-DrugBank.d395.s1.e1,"Thus, concomitant administration of drug1 and drug2",True,advise
DDI-DrugBank.d395.s2.e0,DDI-DrugBank.d395.s2.e1,drug1: drug2 is a potent inhibitor of the cytochrome P-450 isozymes responsible for the metabolism of drug0,False, 
DDI-DrugBank.d395.s2.e0,DDI-DrugBank.d395.s2.e2,drug1: drug0 is a potent inhibitor of the cytochrome P-450 isozymes responsible for the metabolism of drug2,False, 
DDI-DrugBank.d395.s2.e1,DDI-DrugBank.d395.s2.e2,drug0: drug1 is a potent inhibitor of the cytochrome P-450 isozymes responsible for the metabolism of drug2,True,mechanism
DDI-DrugBank.d395.s3.e0,DDI-DrugBank.d395.s3.e1,"In a multiple-dose study, drug1 caused a dose-related increase in the mean elimination half-life of drug2, thereby decreasing the clearance of drug0 by up to 80% and leading to a five-fold increase in the AUC and the half-life of drug0",True,mechanism
DDI-DrugBank.d395.s3.e0,DDI-DrugBank.d395.s3.e2,"In a multiple-dose study, drug1 caused a dose-related increase in the mean elimination half-life of drug0, thereby decreasing the clearance of drug2 by up to 80% and leading to a five-fold increase in the AUC and the half-life of drug0",False, 
DDI-DrugBank.d395.s3.e0,DDI-DrugBank.d395.s3.e3,"In a multiple-dose study, drug1 caused a dose-related increase in the mean elimination half-life of drug0, thereby decreasing the clearance of drug0 by up to 80% and leading to a five-fold increase in the AUC and the half-life of drug2",False, 
DDI-DrugBank.d395.s4.e0,DDI-DrugBank.d395.s4.e1,Trough plasma drug1 levels were also 20% higher when drug2 and drug0,False, 
DDI-DrugBank.d395.s4.e0,DDI-DrugBank.d395.s4.e2,Trough plasma drug1 levels were also 20% higher when drug0 and drug2,False, 
DDI-DrugBank.d395.s4.e1,DDI-DrugBank.d395.s4.e2,Trough plasma drug0 levels were also 20% higher when drug1 and drug2,True,mechanism
DDI-DrugBank.d395.s5.e0,DDI-DrugBank.d395.s5.e1,drug1-related adverse effects have occurred in patients consuming drug2 while on therapy with drug0,False, 
DDI-DrugBank.d395.s5.e0,DDI-DrugBank.d395.s5.e2,drug1-related adverse effects have occurred in patients consuming drug0 while on therapy with drug2,False, 
DDI-DrugBank.d395.s5.e1,DDI-DrugBank.d395.s5.e2,drug0-related adverse effects have occurred in patients consuming drug1 while on therapy with drug2,True,effect
DDI-DrugBank.d395.s6.e0,DDI-DrugBank.d395.s6.e1,drug1: Elevated serum levels of drug2 have been reported with concomitant use of drug0 with other members of the drug0,False, 
DDI-DrugBank.d395.s6.e0,DDI-DrugBank.d395.s6.e2,drug1: Elevated serum levels of drug0 have been reported with concomitant use of drug2 with other members of the drug0,False, 
DDI-DrugBank.d395.s6.e2,DDI-DrugBank.d395.s6.e3,drug0: Elevated serum levels of drug0 have been reported with concomitant use of drug1 with other members of the drug2,True,mechanism
DDI-DrugBank.d395.s7.e0,DDI-DrugBank.d395.s7.e1,drug1: drug2 may raise serum drug0,False, 
DDI-DrugBank.d395.s7.e0,DDI-DrugBank.d395.s7.e2,drug1: drug0 may raise serum drug2,False, 
DDI-DrugBank.d395.s7.e1,DDI-DrugBank.d395.s7.e2,drug0: drug1 may raise serum drug2,True,mechanism
DDI-DrugBank.d395.s8.e0,DDI-DrugBank.d395.s8.e1,"If signs and symptoms suggestive of drug1 toxicity occur when drug2 and drug0 are given concomitantly, physicians are advised to obtain serum drug0 levels and adjust drug0",False, 
DDI-DrugBank.d395.s8.e0,DDI-DrugBank.d395.s8.e2,"If signs and symptoms suggestive of drug1 toxicity occur when drug0 and drug2 are given concomitantly, physicians are advised to obtain serum drug0 levels and adjust drug0",False, 
DDI-DrugBank.d395.s8.e1,DDI-DrugBank.d395.s8.e2,"If signs and symptoms suggestive of drug0 toxicity occur when drug1 and drug2 are given concomitantly, physicians are advised to obtain serum drug0 levels and adjust drug0",True,effect
